"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2025","100.16","100.17","100.36","100.03","0.00K","-0.07%"
"11/19/2025","100.23","99.58","100.24","99.49","0.00K","0.68%"
"11/18/2025","99.55","99.56","99.66","99.40","0.00K","-0.04%"
"11/17/2025","99.59","99.27","99.60","99.25","0.00K","0.29%"
"11/14/2025","99.30","99.25","99.40","98.99","","0.14%"
"11/13/2025","99.16","99.52","99.59","98.99","0.00K","-0.34%"
"11/12/2025","99.50","99.46","99.71","99.42","0.00K","0.05%"
"11/11/2025","99.44","99.66","99.74","99.29","0.00K","-0.15%"
"11/10/2025","99.59","99.63","99.74","99.46","0.00K","-0.01%"
"11/07/2025","99.60","99.76","99.87","99.40","","-0.13%"
"11/06/2025","99.73","100.11","100.11","99.67","0.00K","-0.47%"
"11/05/2025","100.20","100.18","100.36","100.06","0.00K","-0.02%"
"11/04/2025","100.22","99.98","100.25","99.74","0.00K","0.35%"
"11/03/2025","99.87","99.75","99.99","99.71","0.00K","0.07%"
"10/31/2025","99.80","99.49","99.84","99.42","","0.28%"
"10/30/2025","99.53","99.14","99.72","98.92","0.00K","0.31%"
"10/29/2025","99.22","98.74","99.36","98.62","0.00K","0.56%"
"10/28/2025","98.67","98.75","98.95","98.57","0.00K","-0.12%"
"10/27/2025","98.78","98.84","99.00","98.73","0.00K","-0.17%"
"10/24/2025","98.95","98.94","99.10","98.73","","0.02%"
"10/23/2025","98.94","98.92","99.14","98.91","0.00K","0.04%"
"10/22/2025","98.90","98.97","99.14","98.79","0.00K","-0.04%"
"10/21/2025","98.93","98.61","98.98","98.51","0.00K","0.35%"
"10/20/2025","98.59","98.67","98.67","98.39","0.00K","0.16%"
